district_name,state_name,inclusion_reason,explanation
THIRUVALLUR,TAMIL NADU,Top Overall MAI,"THIRUVALLUR (TAMIL NADU): expected infrastructure driven primarily by population (+28%) and economic_employees (+7%), partially offset by nightlights_mean (-6%)"
SANT KABIR NAGAR,UTTAR PRADESH,Top Demand Gap,"SANT KABIR NAGAR (UTTAR PRADESH): expected infrastructure driven primarily by economic_employees (+6%), partially offset by diabetes_prevalence (-10%)"
DARJILING,WEST BENGAL,Top Demand Gap,"DARJILING (WEST BENGAL): expected infrastructure driven primarily by hypertension_prevalence (+26%) and population (+6%), partially offset by economic_establishments (-8%)"
SURAT,GUJARAT,Top Overall MAI,"SURAT (GUJARAT): expected infrastructure driven primarily by population (+52%) and economic_employees (+7%), partially offset by diabetes_prevalence (-1%)"
NAGAPATTINAM,TAMIL NADU,Top Demand Gap,"NAGAPATTINAM (TAMIL NADU): expected infrastructure driven primarily by diabetes_prevalence (+9%) and economic_employees (+5%), partially offset by nightlights_mean (-9%)"
COIMBATORE,TAMIL NADU,Top Overall MAI,"COIMBATORE (TAMIL NADU): expected infrastructure driven primarily by population (+29%) and economic_employees (+11%), partially offset by nightlights_mean (-2%)"
THIRUVANANTHAPURAM,KERALA,Top Overall MAI,"THIRUVANANTHAPURAM (KERALA): expected infrastructure driven primarily by population (+26%) and hypertension_prevalence (+17%), partially offset by literacy_rate (-3%)"
KOLLAM,KERALA,Top Overall MAI,"KOLLAM (KERALA): expected infrastructure driven primarily by population (+23%) and hypertension_prevalence (+16%), partially offset by literacy_rate (-5%)"
THRISSUR,KERALA,Top Overall MAI,"THRISSUR (KERALA): expected infrastructure driven primarily by population (+29%) and hypertension_prevalence (+13%), partially offset by literacy_rate (-3%)"
ALAPPUZHA,KERALA,Top Overall MAI,"ALAPPUZHA (KERALA): expected infrastructure driven primarily by population (+18%) and hypertension_prevalence (+16%), partially offset by literacy_rate (-5%)"
THANE,MAHARASHTRA,Top Overall MAI,"THANE (MAHARASHTRA): expected infrastructure driven primarily by population (+57%) and economic_establishments (+5%), partially offset by hypertension_prevalence (-1%)"
KANCHEEPURAM,TAMIL NADU,Top Demand Gap,"KANCHEEPURAM (TAMIL NADU): expected infrastructure driven primarily by population (+33%), partially offset by nightlights_mean (-14%)"
UTTAR DINAJPUR,WEST BENGAL,Top Demand Gap,"UTTAR DINAJPUR (WEST BENGAL): expected infrastructure driven primarily by population (+31%) and economic_employees (+5%), partially offset by diabetes_prevalence (-11%)"
FIROZPUR,PUNJAB,Top Demand Gap,"FIROZPUR (PUNJAB): expected infrastructure driven primarily by economic_employees (+6%) and population (+0%), partially offset by diabetes_prevalence (-14%)"
DURG,CHHATTISGARH,Top Demand Gap,"DURG (CHHATTISGARH): expected infrastructure driven primarily by population (+44%) and literacy_rate (+3%), partially offset by diabetes_prevalence (-16%)"
JALPAIGURI,WEST BENGAL,Top Demand Gap,"JALPAIGURI (WEST BENGAL): expected infrastructure driven primarily by population (+40%) and economic_employees (+3%), partially offset by economic_establishments (-18%)"
SURGUJA,CHHATTISGARH,Top Demand Gap,"SURGUJA (CHHATTISGARH): expected infrastructure driven primarily by population (+17%) and nightlights_mean (+8%), partially offset by hypertension_prevalence (-8%)"
DAMOH,MADHYA PRADESH,Top Demand Gap,"DAMOH (MADHYA PRADESH): expected infrastructure driven primarily by economic_establishments (+8%) and economic_employees (+6%), partially offset by population (-34%)"
ERNAKULAM,KERALA,Top Overall MAI,"ERNAKULAM (KERALA): expected infrastructure driven primarily by population (+27%) and hypertension_prevalence (+12%), partially offset by literacy_rate (-2%)"
CHENNAI,TAMIL NADU,Top Overall MAI,"CHENNAI (TAMIL NADU): expected infrastructure driven primarily by population (+34%) and economic_employees (+12%), partially offset by hypertension_prevalence (-0%)"
